,customer_id,payment_mode,preparationtime,vendor_id,gender,language,like
0,6898,2,0.0,105,0,0,0
1,20466,1,0.0,294,0,0,0
2,16958,1,0.0,83,0,0,0
3,15473,1,0.0,90,0,0,0
4,8611,1,0.0,83,0,0,0
5,22908,2,0.0,83,0,0,0
6,13824,1,0.0,105,0,0,0
7,13824,1,0.0,105,0,0,0
8,20623,1,0.0,78,0,0,0
9,3838,2,0.0,83,0,0,0
10,20433,1,0.0,83,0,0,0
11,10456,1,0.0,154,0,0,0
12,24061,1,0.0,193,0,0,0
13,10456,1,0.0,154,0,0,0
14,5096,1,0.0,193,0,0,0
15,1116,1,0.0,83,0,0,0
16,12181,1,0.0,83,0,0,0
17,23662,2,0.0,78,0,0,0
18,646,1,0.0,78,0,0,0
19,22389,1,0.0,4,0,0,0
20,18500,1,0.0,78,0,0,0
21,8522,1,0.0,288,0,0,0
22,11229,1,0.0,78,0,0,0
23,9590,1,0.0,85,0,0,0
24,5862,1,0.0,83,0,0,0
25,14280,1,0.0,195,0,0,0
26,6995,1,0.0,78,0,0,0
27,17580,2,0.0,161,0,0,0
28,14384,1,0.0,196,0,0,0
29,21841,1,0.0,75,0,0,0
30,15928,2,0.0,20,1,0,0
31,15988,1,0.0,221,0,0,0
32,15877,1,0.0,195,0,0,0
33,18308,2,0.0,300,1,0,0
34,20823,1,0.0,20,0,0,0
35,6311,1,0.0,221,1,0,0
36,25922,1,0.0,20,0,0,0
37,5373,2,0.0,20,0,0,0
38,21902,2,0.0,20,0,0,0
39,17800,1,0.0,81,0,0,0
40,24988,1,0.0,75,0,0,0
41,17456,2,0.0,300,0,0,0
42,7309,1,0.0,195,0,0,0
43,23258,2,0.0,180,0,1,0
44,4489,1,0.0,75,0,0,0
45,2627,2,0.0,20,0,0,0
46,15562,1,0.0,231,0,0,0
47,20756,1,0.0,75,0,0,0
48,22564,1,0.0,75,0,0,0
49,22220,1,0.0,85,0,0,0
50,19240,1,0.0,195,0,0,0
51,24245,1,0.0,193,0,0,0
52,13126,1,0.0,303,0,0,0
53,15900,2,0.0,225,0,0,0
54,17334,2,0.0,81,0,0,0
55,1461,2,0.0,221,0,0,0
56,17251,1,0.0,20,0,0,0
57,1461,2,0.0,221,0,0,0
58,8006,2,0.0,81,0,0,0
59,17251,1,0.0,300,0,0,0
60,22198,1,0.0,110,0,0,0
61,23923,2,0.0,81,0,0,0
62,18499,1,0.0,176,0,0,0
63,18077,1,0.0,180,0,0,0
64,15951,1,0.0,33,0,0,0
65,22286,2,0.0,23,0,0,0
66,18498,2,0.0,115,0,0,0
67,16414,1,0.0,113,0,0,0
68,25652,1,0.0,4,0,0,0
69,25271,1,0.0,113,0,0,0
70,2281,2,0.0,13,0,0,0
71,19479,2,0.0,4,0,0,0
72,12071,1,0.0,4,0,0,0
73,21001,2,0.0,288,0,0,0
74,1526,2,0.0,20,0,0,0
75,12071,1,0.0,4,0,0,0
76,6370,2,0.0,193,0,0,0
77,23931,2,0.0,300,0,0,0
78,25910,1,0.0,157,0,0,0
79,6850,2,0.0,157,0,0,0
80,20469,1,0.0,113,0,0,0
81,1568,2,0.0,4,0,0,0
82,24876,1,0.0,159,0,0,0
83,7416,1,0.0,289,0,0,0
84,22398,2,0.0,221,0,0,0
85,26560,1,0.0,113,0,0,0
86,22927,2,0.0,303,0,0,0
87,8407,1,0.0,106,0,0,0
88,22927,2,0.0,134,0,0,0
89,10858,2,0.0,76,0,0,0
90,12071,1,0.0,4,0,0,0
91,20050,1,0.0,303,0,0,0
92,21268,1,0.0,83,0,0,0
93,3093,1,0.0,76,0,0,0
94,11958,2,0.0,180,0,0,0
95,13638,1,0.0,113,0,0,0
96,14791,1,0.0,303,1,0,0
97,10942,1,0.0,104,0,0,0
98,16766,1,0.0,104,0,0,0
99,6287,2,0.0,20,0,0,0
100,26151,1,0.0,303,0,0,0
101,18702,1,0.0,310,0,0,1
102,21128,1,0.0,78,0,0,0
103,18302,1,0.0,113,1,0,0
104,21253,1,0.0,196,0,0,0
105,18901,1,0.0,113,0,0,0
106,507,1,0.0,55,0,0,0
107,3315,1,0.0,78,0,0,0
108,15913,1,0.0,157,0,0,0
109,14853,1,0.0,180,0,0,0
110,15347,1,0.0,78,0,0,0
111,14645,1,0.0,201,0,0,0
112,7922,2,0.0,274,0,0,0
113,17839,1,0.0,4,0,0,0
114,1608,2,0.0,265,0,0,0
115,23736,1,0.0,90,0,0,0
116,17749,2,0.0,265,0,0,0
117,399,1,0.0,304,0,0,0
118,7799,1,0.0,113,0,0,0
119,4276,1,0.0,113,0,0,0
120,7480,1,0.0,83,0,0,0
121,18890,1,0.0,4,0,0,0
122,6149,1,0.0,113,1,0,0
123,14398,2,0.0,78,0,0,0
124,7687,1,0.0,157,0,0,0
125,19918,2,0.0,78,0,0,0
126,22247,1,0.0,303,0,0,0
127,13236,1,0.0,78,0,0,0
128,9610,1,0.0,106,1,0,0
129,26068,1,0.0,113,0,0,0
130,13485,2,0.0,115,0,0,0
131,3865,1,0.0,78,0,0,0
132,5626,1,0.0,113,0,0,0
133,771,1,0.0,303,0,0,0
134,12258,1,0.0,113,0,1,0
135,10822,1,0.0,33,0,0,0
136,12258,2,0.0,113,0,1,0
137,13960,1,0.0,289,0,0,0
138,22213,2,0.0,180,0,0,0
139,14613,1,0.0,265,0,0,0
140,14201,2,0.0,110,0,0,0
141,3201,1,0.0,106,0,0,0
142,803,1,0.0,259,0,0,0
143,15253,2,0.0,303,0,0,0
144,15842,2,0.0,176,0,0,0
145,10941,1,0.0,78,0,0,0
146,9689,1,0.0,157,1,0,0
147,18105,1,0.0,78,0,0,0
148,14422,1,0.0,75,0,0,0
149,14301,1,0.0,160,0,0,0
150,4441,2,0.0,134,0,0,0
151,23804,2,0.0,75,0,0,0
152,4187,1,0.0,195,0,0,0
153,25477,1,0.0,83,0,0,0
154,4187,1,0.0,196,0,0,0
155,27017,2,0.0,303,0,0,0
156,18577,1,0.0,78,0,0,0
157,15679,2,0.0,28,0,0,0
158,18577,1,0.0,78,0,0,0
159,11656,1,0.0,157,0,0,1
160,1347,1,0.0,221,0,0,0
161,14301,1,0.0,250,0,0,0
162,999,2,0.0,300,0,0,0
163,6213,1,0.0,106,0,0,0
164,3417,1,0.0,191,0,0,0
165,19194,1,0.0,78,0,0,0
166,4264,1,0.0,83,0,0,0
167,699,1,0.0,110,0,0,0
